Major area, region, country or area of destination;id;T1990;T1995;T2000;T2005;T2010;T2015;T2019;M1990;M1995;M2000;M2005;M2010;M2015;M2019;F1990;F1995;F2000;F2005;F2010;F2015;F2019
WORLD;900;153011473;161316895;173588441;191615574;220781909;248861296;271642105;77661689;81686116;88029221;97860838;114061680;128863389;141488004;75349784;79630779;85559220;93754736;106720229;119997907;130154101
UN development groups;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
More developed regions;901;82767216;92935095;103961989;116687616;130613460;140643317;152069261;40426798;45377588;50801898;57078401;63408858;67824389;73765353;42340418;47557507;53160091;59609215;67204602;72818928;78303908
Less developed regions;902;70244257;68381800;69626452;74927958;90168449;108217979;119572844;37234891;36308528;37227323;40782437;50652822;61039000;67722651;33009366;32073272;32399129;34145521;39515627;47178979;51850193
Least developed countries;941;11060221;11681777;10063948;9833150;10432671;13631349;16289023;5550233;5824077;5033932;4987537;5185496;6784461;8086158;5509988;5857700;5030016;4845613;5247175;6846888;8202865
Less developed regions, excluding least developed countries;934;59184036;56700023;59562504;65094808;79735778;94586630;103283821;31684658;30484451;32193391;35794900;45467326;54254539;59636493;27499378;26215572;27369113;29299908;34268452;40332091;43647328
World Bank income groups;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
High-income countries;1503;77802868;89346612;103029727;120543730;144282576;160366582;175811829;39990074;45667367;52461513;61790468;75066182;83439478;92206429;37812794;43679245;50568214;58753262;69216394;76927104;83605400
Middle-income countries;1517;65124366;61040029;61158978;61623367;65980003;76123099;82237681;32639136;30611173;30909147;31332883;33819987;39344221;42620527;32485230;30428856;30249831;30290484;32160016;36778878;39617154
Upper-middle-income countries;1502;33285549;33494586;34642477;36657488;40238761;49653277;54279436;16872084;16976166;17714558;18757000;20832801;26006485;28541726;16413465;16518420;16927919;17900488;19405960;23646792;25737710
Lower-middle-income countries;1501;31838817;27545443;26516501;24965879;25741242;26469822;27958245;15767052;13635007;13194589;12575883;12987186;13337736;14078801;16071765;13910436;13321912;12389996;12754056;13132086;13879444
