id,iso_2,iso_3,country_en,country_cz,latitude,longitude,year,country,T0-4,T5-9,T10-14,T 15-19,T20-24,T25-29,T30-34,T35-39,T40-44,T45-49,T50-54,T55-59,T60-64,T65-69,T70-74,T75+,TTotal,M0-4,M5-9,M10-14,M 15-19,M20-24,M25-29,M30-34,M35-39,M40-44,M45-49,M50-54,M55-59,M60-64,M65-69,M70-74,M75+,MTotal,F0-4,F5-9,F10-14,F 15-19,F20-24,F25-29,F30-34,F35-39,F40-44,F45-49,F50-54,F55-59,F60-64,F65-69,F70-74,F75+,FTotal
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,1990,Afghanistan,3693.0,3795.0,4505.0,5370.0,6490.0,7154.0,6586.0,5336.0,4031.0,3011.0,2343.0,1936.0,1456.0,986.0,394.0,600.0,57686.0,2146.0,2155.0,2485.0,2811.0,3323.0,3780.0,3664.0,3120.0,2444.0,1849.0,1454.0,1206.0,906.0,609.0,244.0,362.0,32558.0,1547.0,1640.0,2020.0,2559.0,3167.0,3374.0,2922.0,2216.0,1587.0,1162.0,889.0,730.0,550.0,377.0,150.0,238.0,25128.0
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,1995,Afghanistan,4379.0,4705.0,5337.0,6381.0,7729.0,8399.0,7952.0,6892.0,5484.0,4212.0,3258.0,2629.0,1923.0,1118.0,447.0,677.0,71522.0,2438.0,2559.0,2823.0,3212.0,3820.0,4300.0,4293.0,3921.0,3229.0,2508.0,1952.0,1575.0,1151.0,664.0,267.0,393.0,39105.0,1941.0,2146.0,2514.0,3169.0,3909.0,4099.0,3659.0,2971.0,2255.0,1704.0,1306.0,1054.0,772.0,454.0,180.0,284.0,32417.0
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,2000,Afghanistan,4487.0,4995.0,5464.0,6549.0,7947.0,8536.0,8267.0,7537.0,6213.0,4858.0,3742.0,2975.0,2135.0,1101.0,440.0,671.0,75917.0,2549.0,2782.0,2970.0,3420.0,4096.0,4550.0,4621.0,4420.0,3752.0,2961.0,2286.0,1813.0,1300.0,665.0,267.0,396.0,42848.0,1938.0,2213.0,2494.0,3129.0,3851.0,3986.0,3646.0,3117.0,2461.0,1897.0,1456.0,1162.0,835.0,436.0,173.0,275.0,33069.0
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,2005,Afghanistan,5068.0,5602.0,6401.0,7505.0,8765.0,9382.0,9224.0,8488.0,7307.0,5952.0,4781.0,3857.0,2694.0,1133.0,453.0,688.0,87300.0,2879.0,3103.0,3445.0,3940.0,4595.0,5053.0,5173.0,4943.0,4363.0,3593.0,2889.0,2331.0,1625.0,673.0,270.0,399.0,49274.0,2189.0,2499.0,2956.0,3565.0,4170.0,4329.0,4051.0,3545.0,2944.0,2359.0,1892.0,1526.0,1069.0,460.0,183.0,289.0,38026.0
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,2010,Afghanistan,5872.0,6454.0,7618.0,8790.0,9966.0,10639.0,10585.0,9812.0,8722.0,7309.0,6032.0,4911.0,3103.0,1213.0,485.0,735.0,102246.0,3335.0,3560.0,4071.0,4632.0,5293.0,5777.0,5953.0,5683.0,5166.0,4383.0,3623.0,2955.0,1862.0,710.0,284.0,422.0,57709.0,2537.0,2894.0,3547.0,4158.0,4673.0,4862.0,4632.0,4129.0,3556.0,2926.0,2409.0,1956.0,1241.0,503.0,201.0,313.0,44537.0
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,2015,Afghanistan,60762.0,61892.0,55250.0,38110.0,37184.0,40120.0,40461.0,38058.0,34148.0,28995.0,22798.0,16834.0,10336.0,2283.0,1141.0,1377.0,489749.0,31208.0,30645.0,26287.0,17812.0,17556.0,19476.0,20529.0,20027.0,18469.0,15929.0,12545.0,9283.0,5897.0,1215.0,608.0,726.0,248212.0,29554.0,31247.0,28963.0,20298.0,19628.0,20644.0,19932.0,18031.0,15679.0,13066.0,10253.0,7551.0,4439.0,1068.0,533.0,651.0,241537.0
4,AF,AFG,Afghanistan,Afghánistán,33.93911,67.709953,2019,Afghanistan,19045.0,17964.0,16217.0,12052.0,11365.0,12181.0,12288.0,11562.0,10394.0,8906.0,7071.0,5280.0,3395.0,1133.0,439.0,470.0,149762.0,9653.0,8769.0,7597.0,5544.0,5282.0,5826.0,6150.0,6009.0,5556.0,4838.0,3848.0,2879.0,1917.0,618.0,240.0,248.0,74974.0,9392.0,9195.0,8620.0,6508.0,6083.0,6355.0,6138.0,5553.0,4838.0,4068.0,3223.0,2401.0,1478.0,515.0,199.0,222.0,74788.0
8,AL,ALB,Albania,Albánie,41.153332,20.168331,1990,Albania,3268.0,3440.0,4155.0,4818.0,6429.0,6957.0,8264.0,8574.0,6782.0,4477.0,2716.0,1887.0,1377.0,886.0,838.0,1145.0,66013.0,1802.0,1914.0,2322.0,2675.0,3524.0,3654.0,4057.0,3818.0,2532.0,1416.0,885.0,688.0,463.0,263.0,257.0,309.0,30579.0,1466.0,1526.0,1833.0,2143.0,2905.0,3303.0,4207.0,4756.0,4250.0,3061.0,1831.0,1199.0,914.0,623.0,581.0,836.0,35434.0
8,AL,ALB,Albania,Albánie,41.153332,20.168331,1995,Albania,5796.0,5768.0,5714.0,5789.0,6478.0,6762.0,7352.0,7375.0,5889.0,3972.0,2589.0,1857.0,1407.0,1175.0,1352.0,2079.0,71354.0,3174.0,3188.0,3173.0,3193.0,3527.0,3525.0,3579.0,3251.0,2170.0,1234.0,831.0,668.0,465.0,342.0,406.0,558.0,33284.0,2622.0,2580.0,2541.0,2596.0,2951.0,3237.0,3773.0,4124.0,3719.0,2738.0,1758.0,1189.0,942.0,833.0,946.0,1521.0,38070.0
8,AL,ALB,Albania,Albánie,41.153332,20.168331,2000,Albania,8642.0,8384.0,7444.0,6841.0,6461.0,6461.0,6218.0,5911.0,4794.0,3346.0,2414.0,1802.0,1426.0,1493.0,1929.0,3129.0,76695.0,3883.0,3841.0,3371.0,2824.0,2520.0,3070.0,2906.0,3207.0,2839.0,1912.0,1315.0,946.0,762.0,722.0,871.0,1001.0,35990.0,4759.0,4543.0,4073.0,4017.0,3941.0,3391.0,3312.0,2704.0,1955.0,1434.0,1099.0,856.0,664.0,771.0,1058.0,2128.0,40705.0
