MidPeriod;time_rok
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
2083;2080
2088;2085
2093;2090
2098;2095
1953;1950
1958;1955
1963;1960
1968;1965
1973;1970
1978;1975
1983;1980
1988;1985
1993;1990
1998;1995
2003;2000
2008;2005
2013;2010
2018;2015
2023;2020
2028;2025
2033;2030
2038;2035
2043;2040
2048;2045
2053;2050
2058;2055
2063;2060
2068;2065
2073;2070
2078;2075
